name,state_code,latitude,longitude,elevation
Arrowsmith East,WA,-29.6146,115.34013,196
Artarmon,NSW,-33.80943,151.18566,86
Arthur River,TAS,-41.05955,144.68187,39
Arthur River,WA,-33.33805,117.03417,290
Arthurs Creek,VIC,-37.5877,145.21816,132
Arthurs Lake,TAS,-42.00249,146.96593,958
Arthurs Seat,VIC,-38.35443,144.94979,308
Arthurton,SA,-34.25753,137.7564,204
Arthurville,NSW,-32.55484,148.74271,310
Arumbera,NT,-23.78482,133.81467,558
Arumpo,NSW,-33.87362,142.88526,77
Arundel,QLD,-27.93971,153.37278,14
Ascot,QLD,-27.43027,153.05868,35
Ascot,QLD,-27.8254,151.99673,466
Ascot,VIC,-37.40088,143.80251,416
Ascot,VIC,-36.71225,144.33338,198
Ascot,WA,-31.94068,115.923,4
Ascot Park,SA,-34.98693,138.56464,26
Ascot Vale,VIC,-37.77583,144.92338,38
Ashbourne,SA,-35.28283,138.77018,154
Ashbourne,VIC,-37.40543,144.45857,648
Ashburton,VIC,-37.86339,145.07942,60
Ashbury,NSW,-33.9019,151.11932,20
Ashby,NSW,-29.42393,153.18745,25
Ashby,WA,-31.73421,115.79245,39
Ashby Heights,NSW,-29.41374,153.17939,122
Ashby Island,NSW,-29.43097,153.20263,1
Ashcroft,NSW,-33.91759,150.8991,17
Ashendon,WA,-32.23124,116.14054,349
Ashfield,NSW,-33.88953,151.12586,47
Ashfield,QLD,-24.87276,152.39614,26
Ashfield,WA,-31.9152,115.93764,23
Ashford,NSW,-29.32125,151.09608,430
Ashford,SA,-34.94871,138.57395,31
Ashgrove,QLD,-27.4456,152.99212,38
Ashley,NSW,-29.31777,149.80806,204
Ashmont,NSW,-35.12318,147.32996,190
Ashmore,QLD,-27.98638,153.38205,27
Ashton,SA,-34.93973,138.73739,546
Ashtonfield,NSW,-32.77382,151.601,43
Ashville,SA,-35.51045,139.36576,7
Ashwell,QLD,-27.62846,152.5601,73
Ashwood,VIC,-37.86469,145.09306,76
Aspendale,VIC,-38.02648,145.10191,10
Aspendale Gardens,VIC,-38.02346,145.11837,5
Aspley,QLD,-27.36386,153.01574,25
Asquith,NSW,-33.68748,151.10869,186
Athelstone,SA,-34.8698,138.70285,121
Atherton,QLD,-17.26827,145.47457,766
Athlone,VIC,-38.2399,145.77982,79
Athol,QLD,-27.61535,151.77485,517
Athol Park,SA,-34.85768,138.54263,9
Atholwood,NSW,-28.99964,151.05801,420
Atitjere,NT,-22.98305,134.93172,571
Atkinsons Dam,QLD,-27.42101,152.45551,63
Attadale,WA,-32.02581,115.80135,18
Attunga,NSW,-30.8948,150.82465,469
Attwood,VIC,-37.66752,144.88529,120
Atwell,WA,-32.1328,115.86059,26
Aubigny,QLD,-27.52223,151.64174,418
Aubin Grove,WA,-32.16841,115.86112,27
Aubrey,VIC,-36.2411,142.23414,118
Auburn,NSW,-33.84932,151.03342,24
Auburn,QLD,-25.9999,150.50818,308
Auburn,SA,-34.028,138.68164,319
Auburn Vale,NSW,-29.83895,151.04172,637
Auchenflower,QLD,-27.47553,152.99342,16
Auchmore,VIC,-36.47236,144.09569,120
Augathella,QLD,-25.79469,146.58661,372
Augusta,WA,-34.31594,115.15973,35
Augustine Heights,QLD,-27.66915,152.89354,87
Auldana,SA,-34.91972,138.6844,199
Aurukun,QLD,-13.60938,141.82845,51
Austinmer,NSW,-34.30628,150.93456,8
Austins Ferry,TAS,-42.77503,147.24882,42
Austinville,QLD,-28.13582,153.31749,104
Austral,NSW,-33.93311,150.81203,85
Austral Eden,NSW,-31.02195,152.9378,4
Australia Plains,SA,-34.0938,139.16909,272
Australind,WA,-33.27903,115.71443,7
Avalon,VIC,-38.05097,144.45169,10
Avalon Beach,NSW,-33.63633,151.3306,10
Aveley,WA,-31.78131,115.98923,29
Avenel,VIC,-36.89279,145.23059,150
Avenell Heights,QLD,-24.89048,152.37388,27
Avenue Range,SA,-36.9018,140.23,23
Avisford,NSW,-32.74558,149.48011,541
Avoca,NSW,-34.61352,150.47932,756
Avoca,QLD,-24.88185,152.31255,24
Avoca,TAS,-41.78215,147.72044,209
Avoca,VIC,-37.08854,143.4738,242
Avoca Beach,NSW,-33.46494,151.43239,10
Avoca Dell,SA,-35.08855,139.30897,6
Avoca Vale,QLD,-26.75581,152.23556,151
Avon,NSW,-34.35207,150.63475,370
Avon,SA,-34.28116,138.33875,33
Avondale,NSW,-34.51418,150.73377,54
Avondale,QLD,-24.74144,152.16123,27
Avondale Heights,VIC,-37.76946,144.86509,40
Avonmore,VIC,-36.52988,144.60446,134
Avon Plains,VIC,-36.53999,142.89554,141
Avonside,NSW,-36.36398,148.72882,1086
Avonsleigh,VIC,-37.9207,145.46725,278
Avon Valley National Park,WA,-31.64627,116.20684,318
Awaba,NSW,-33.00774,151.54341,59
Axe Creek,VIC,-36.84893,144.41948,248
Axedale,VIC,-36.78792,144.50413,174
Aylmerton,NSW,-34.41907,150.49274,599
Ayr,QLD,-19.57605,147.40517,16
Ayrford,VIC,-38.41566,142.85945,97
